beta,kT,KE,SprPE,PE,TotE,Ethr,Rg,bd0,bd1,bd2,bd3,bd4,bd5,bd6,bd7,endl
0.12584731,   7.946137,  10298.194,  8635.0187, -4434.8429,  14498.369,  522.17834, 0.0002033886,          0, 0.00027304458, 0.00046372001, 0.00058047032, 0.00061974784, 0.00058047032, 0.00046372001, 0.00027304458, 
 0.1217653,  8.2125201,  10643.426,  9232.5826,  -4445.448,  15430.561, -408.96097, 0.00021214833,          0, 0.00029193991, 0.00048104223, 0.0006037905, 0.00064082798, 0.0006037905, 0.00048104223, 0.00029193991, 
0.12749528,  7.8434275,  10165.082,  8482.0356, -4520.1766,  14126.941,  894.08131, 0.00020284007,          0, 0.00026820716, 0.00045974534, 0.00057945469, 0.00063062669, 0.00057945469, 0.00045974534, 0.00026820716, 
0.12627962,  7.9189343,  10262.939,  8866.0025, -4496.3049,  14632.636,  388.66106, 0.00020737806,          0, 0.00028034843, 0.00047870822, 0.00058940514, 0.00062112535, 0.00058940514, 0.00047870822, 0.00028034843, 
0.12090984,  8.2706257,  10718.731,  9085.8419, -4446.9406,  15357.632, -335.79504, 0.00021848517,          0, 0.00028729988, 0.0004953919, 0.00062931917, 0.00067174085, 0.00062931917, 0.0004953919, 0.00028729988, 
0.11733076,   8.522914,  11045.697,  8752.6091, -4527.6503,  15270.655, -249.61871, 0.00020499747,          0, 0.00027676286, 0.00047504989, 0.00058004817, 0.00061623775, 0.00058004817, 0.00047504989, 0.00027676286, 
0.12698965,  7.8746577,  10205.556,   8875.421, -4614.7642,  14466.213,  555.11733, 0.00022204161,          0, 0.00028064624, 0.00050365627, 0.00064644901, 0.00069116276, 0.00064644901, 0.00050365627, 0.00028064624, 
0.12581701,  7.9480507,  10300.674,  9553.8559,  -4617.013,  15237.517, -216.61644, 0.0002288087,          0, 0.00030209877, 0.00052200929, 0.00065756513, 0.00069759287, 0.00065756513, 0.00052200929, 0.00030209877, 
0.12065505,  8.2880907,  10741.366,  8752.8001, -4551.0223,  14943.143,  78.142602, 0.00020934621,          0, 0.0002767689, 0.00047689281, 0.00059904409, 0.00064412771, 0.00059904409, 0.00047689281, 0.0002767689, 
0.12323848,  8.1143484,  10516.196,  9272.7167, -4509.9779,  15278.934, -256.52711, 0.00022508877,          0, 0.00029320898, 0.00051209652, 0.00064890059, 0.00069300819, 0.00064890059, 0.00051209652, 0.00029320898, 
0.12533074,  7.9788883,  10340.639,  8769.5046, -4525.2489,  14584.895,  438.10223, 0.00020798231,          0, 0.0002772971, 0.00047591145, 0.0005916841, 0.00063793167, 0.0005916841, 0.00047591145, 0.0002772971, 
0.12444009,  8.0359955,   10414.65,  9237.9133, -4582.5322,  15070.031, -47.993422, 0.00023344298,          0, 0.00029210847, 0.00053026474, 0.00068077599, 0.0007287893, 0.00068077599, 0.00053026474, 0.00029210847, 
0.11821289,  8.4593144,  10963.271,  9461.5489, -4613.3663,  15811.454, -790.12424, 0.00022936059,          0, 0.00029917997, 0.00052158354, 0.00065704543, 0.00071415158, 0.00065704543, 0.00052158354, 0.00029917997, 
0.12244273,  8.1670836,   10584.54,  8622.2517, -4528.2332,  14678.559,  342.33187, 0.00020239622,          0, 0.00027264088, 0.00045540282, 0.0005795809, 0.00062309039, 0.0005795809, 0.00045540282, 0.00027264088, 
0.12848017,  7.7833023,   10087.16,   9150.733, -4455.3617,  14782.531,  239.11963, 0.00021482396,          0, 0.00028935178, 0.00049709867, 0.00060674667, 0.00065078911, 0.00060674667, 0.00049709867, 0.00028935178, 
0.11952875,  8.3661882,   10842.58,  9080.9377, -4463.2132,  15460.304, -438.79487, 0.00022186663,          0, 0.00028714481, 0.00050540666, 0.00064105346, 0.00068265614, 0.00064105346, 0.00050540666, 0.00028714481, 
